instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,y_actual
338,1,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985,21,80,101
339,1,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836,26,92,118
340,1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.194,21,108,129
341,1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.194,33,95,128
342,1,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836,29,54,83
343,1,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,15,69,84
344,1,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,14,60,74
345,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537,6,35,41
346,1,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239,6,51,57
347,1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045,0,26,26
348,1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836,5,39,44
349,1,0,1,0,0,0,0,1,0.26,0.303,0.56,0,6,33,39
350,1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343,4,19,23
351,1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896,3,13,16
352,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0,9,6,15
353,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,0,1,1
354,1,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642,1,1,2
355,1,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642,0,1,1
356,1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985,0,3,3
357,1,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836,0,18,18
358,1,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537,3,29,32
359,1,0,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836,8,71,79
360,1,0,1,11,0,0,0,1,0.24,0.2273,0.44,0.2537,23,70,93
361,1,0,1,12,0,0,0,1,0.24,0.2121,0.41,0.2836,29,75,104
362,1,0,1,13,0,0,0,1,0.26,0.2273,0.35,0.2985,23,95,118
363,1,0,1,14,0,0,0,1,0.28,0.2727,0.36,0.2537,22,69,91
364,1,0,1,15,0,0,0,1,0.26,0.2424,0.38,0.2537,35,78,113
365,1,0,1,16,0,0,0,1,0.24,0.2273,0.38,0.2239,22,77,99
366,1,0,1,17,0,0,0,1,0.22,0.2121,0.37,0.2537,23,82,105
367,1,0,1,18,0,0,0,1,0.2,0.2121,0.4,0.1642,11,56,67
368,1,0,1,19,0,0,0,1,0.18,0.197,0.47,0.1343,14,47,61
369,1,0,1,20,0,0,0,1,0.18,0.197,0.47,0.1642,7,50,57
370,1,0,1,21,0,0,0,1,0.18,0.197,0.51,0.1642,6,22,28
371,1,0,1,22,0,0,0,2,0.2,0.2121,0.49,0.1343,2,19,21
372,1,0,1,23,0,0,0,2,0.2,0.2273,0.4,0.1045,0,18,18
373,1,0,1,0,1,1,0,2,0.2,0.197,0.47,0.2239,1,16,17
374,1,0,1,1,1,1,0,2,0.2,0.197,0.44,0.194,1,15,16
375,1,0,1,2,1,1,0,2,0.18,0.1667,0.43,0.2537,0,8,8
376,1,0,1,3,1,1,0,2,0.18,0.1818,0.43,0.194,0,2,2
377,1,0,1,4,1,1,0,2,0.18,0.197,0.43,0.1343,1,2,3
378,1,0,1,5,1,1,0,2,0.18,0.197,0.43,0.1642,0,1,1
379,1,0,1,6,1,1,0,2,0.18,0.1818,0.43,0.194,0,5,5
380,1,0,1,7,1,1,0,2,0.16,0.1818,0.5,0.1343,4,9,13
381,1,0,1,8,1,1,0,2,0.16,0.1515,0.47,0.2239,3,30,33
382,1,0,1,9,1,1,0,2,0.16,0.1515,0.47,0.2239,8,39,47
383,1,0,1,10,1,1,0,2,0.16,0.1515,0.5,0.2537,7,50,57
384,1,0,1,11,1,1,0,2,0.16,0.1515,0.55,0.194,9,55,64
385,1,0,1,12,1,1,0,2,0.18,0.197,0.47,0.1343,10,70,80
386,1,0,1,13,1,1,0,2,0.18,0.197,0.47,0.1343,13,80,93
387,1,0,1,14,1,1,0,2,0.18,0.2121,0.43,0.1045,12,74,86
388,1,0,1,15,1,1,0,2,0.2,0.2121,0.47,0.1642,21,72,93
389,1,0,1,16,1,1,0,2,0.2,0.2121,0.47,0.1642,6,76,82
390,1,0,1,17,1,1,0,1,0.2,0.197,0.51,0.194,4,67,71
391,1,0,1,18,1,1,0,2,0.18,0.1667,0.55,0.2537,7,85,92
392,1,0,1,19,1,1,0,3,0.18,0.1818,0.59,0.194,2,58,60
393,1,0,1,20,1,1,0,3,0.16,0.1515,0.8,0.194,4,29,33
394,1,0,1,21,1,1,0,3,0.16,0.1515,0.8,0.194,3,24,27
395,1,0,1,22,1,1,0,3,0.14,0.1212,0.93,0.2537,0,13,13
396,1,0,1,23,1,1,0,3,0.16,0.1364,0.86,0.2836,1,3,4
397,1,0,1,12,0,2,1,2,0.2,0.1818,0.86,0.3284,0,3,3
398,1,0,1,13,0,2,1,2,0.2,0.197,0.86,0.2239,0,22,22
399,1,0,1,14,0,2,1,2,0.22,0.2273,0.8,0.1642,2,26,28
400,1,0,1,15,0,2,1,2,0.22,0.2273,0.87,0.1642,3,32,35
401,1,0,1,16,0,2,1,2,0.22,0.2273,0.87,0.194,0,61,61
402,1,0,1,17,0,2,1,2,0.22,0.2273,0.82,0.194,1,124,125
403,1,0,1,18,0,2,1,2,0.22,0.2273,0.8,0.1642,1,132,133
404,1,0,1,19,0,2,1,2,0.22,0.2273,0.8,0.1343,1,98,99
405,1,0,1,20,0,2,1,2,0.22,0.2727,0.87,0,0,83,83
406,1,0,1,21,0,2,1,2,0.22,0.2424,0.93,0.1045,0,41,41
407,1,0,1,22,0,2,1,2,0.22,0.2576,0.93,0.0896,0,33,33
408,1,0,1,23,0,2,1,2,0.22,0.2727,0.93,0,1,19,20
409,1,0,1,0,0,3,1,2,0.22,0.2727,0.93,0,0,3,3
410,1,0,1,1,0,3,1,3,0.22,0.2273,0.93,0.1343,1,6,7
411,1,0,1,2,0,3,1,3,0.22,0.2273,0.93,0.1343,0,3,3
412,1,0,1,4,0,3,1,3,0.22,0.2273,0.93,0.1343,1,1,2
413,1,0,1,5,0,3,1,2,0.22,0.2576,0.93,0.0896,0,7,7
414,1,0,1,6,0,3,1,2,0.22,0.2576,0.93,0.0896,0,32,32
415,1,0,1,7,0,3,1,2,0.24,0.2576,0.92,0.1045,1,89,90
416,1,0,1,8,0,3,1,2,0.24,0.2576,0.93,0.1045,1,196,197
417,1,0,1,9,0,3,1,2,0.24,0.2576,0.93,0.1045,2,107,109
418,1,0,1,10,0,3,1,2,0.26,0.2727,0.93,0.1343,1,46,47
419,1,0,1,11,0,3,1,2,0.28,0.303,0.87,0.0896,5,47,52
420,1,0,1,12,0,3,1,2,0.3,0.3182,0.81,0.0896,5,65,70
421,1,0,1,13,0,3,1,1,0.4,0.4091,0.62,0.2836,11,67,78
422,1,0,1,14,0,3,1,1,0.4,0.4091,0.58,0.2537,7,68,75
423,1,0,1,15,0,3,1,1,0.4,0.4091,0.54,0.2836,4,78,82
424,1,0,1,16,0,3,1,1,0.38,0.3939,0.58,0.3881,10,94,104
425,1,0,1,17,0,3,1,1,0.36,0.3333,0.57,0.3284,7,190,197
426,1,0,1,18,0,3,1,1,0.34,0.3182,0.61,0.2836,5,156,161
427,1,0,1,19,0,3,1,1,0.32,0.2879,0.57,0.4179,4,108,112
428,1,0,1,20,0,3,1,1,0.32,0.303,0.49,0.2985,2,74,76
429,1,0,1,21,0,3,1,1,0.32,0.2879,0.49,0.4179,4,55,59
430,1,0,1,22,0,3,1,1,0.3,0.303,0.52,0.1642,6,53,59
431,1,0,1,23,0,3,1,1,0.3,0.2727,0.52,0.4627,1,27,28
432,1,0,1,0,0,4,1,1,0.26,0.2273,0.56,0.3881,5,8,13
433,1,0,1,1,0,4,1,1,0.26,0.2727,0.56,0,2,3,5
434,1,0,1,2,0,4,1,1,0.26,0.2727,0.56,0,0,2,2
435,1,0,1,3,0,4,1,1,0.26,0.2576,0.56,0.1642,0,1,1
436,1,0,1,4,0,4,1,1,0.26,0.2576,0.56,0.1642,0,1,1
437,1,0,1,5,0,4,1,1,0.24,0.2273,0.6,0.2239,0,6,6
438,1,0,1,6,0,4,1,1,0.22,0.2121,0.6,0.2239,0,35,35
439,1,0,1,7,0,4,1,1,0.22,0.2121,0.55,0.2239,1,100,101
440,1,0,1,8,0,4,1,1,0.22,0.2121,0.55,0.2836,2,247,249
441,1,0,1,9,0,4,1,2,0.24,0.2273,0.52,0.2239,3,140,143
442,1,0,1,10,0,4,1,1,0.26,0.2273,0.48,0.2985,1,56,57
443,1,0,1,11,0,4,1,2,0.28,0.2727,0.45,0.1642,5,63,68
444,1,0,1,12,0,4,1,2,0.3,0.3333,0.42,0,7,77,84
445,1,0,1,13,0,4,1,2,0.28,0.2879,0.45,0.1045,12,86,98
446,1,0,1,14,0,4,1,2,0.3,0.303,0.45,0.1343,6,75,81
447,1,0,1,15,0,4,1,2,0.32,0.3182,0.45,0.194,8,62,70
448,1,0,1,16,0,4,1,2,0.3,0.303,0.49,0.1343,8,83,91
449,1,0,1,17,0,4,1,2,0.3,0.3182,0.49,0.1045,8,207,215
450,1,0,1,18,0,4,1,2,0.26,0.2576,0.56,0.194,1,184,185
451,1,0,1,19,0,4,1,1,0.26,0.2273,0.56,0.3284,6,146,152
452,1,0,1,20,0,4,1,2,0.26,0.2424,0.6,0.2836,2,124,126
453,1,0,1,21,0,4,1,2,0.24,0.2273,0.6,0.2537,3,54,57
454,1,0,1,22,0,4,1,2,0.24,0.2121,0.65,0.2836,0,56,56
455,1,0,1,23,0,4,1,2,0.24,0.2121,0.65,0.3284,3,28,31
456,1,0,1,0,0,5,1,2,0.24,0.2273,0.7,0.2537,1,20,21
457,1,0,1,1,0,5,1,2,0.24,0.2273,0.7,0.2537,0,6,6
458,1,0,1,2,0,5,1,3,0.24,0.2424,0.75,0.1642,0,2,2
459,1,0,1,3,0,5,1,3,0.22,0.2121,0.8,0.2985,0,1,1
460,1,0,1,4,0,5,1,2,0.22,0.2576,0.87,0.0896,0,1,1
461,1,0,1,5,0,5,1,1,0.24,0.197,0.6,0.4179,1,4,5
462,1,0,1,6,0,5,1,1,0.22,0.2121,0.55,0.2537,0,27,27
463,1,0,1,7,0,5,1,1,0.2,0.1818,0.51,0.2836,2,66,68
464,1,0,1,8,0,5,1,1,0.2,0.1818,0.47,0.3284,7,210,217
465,1,0,1,9,0,5,1,1,0.2,0.1818,0.51,0.3582,7,159,166
466,1,0,1,10,0,5,1,1,0.2,0.1667,0.47,0.4627,6,57,63
467,1,0,1,11,0,5,1,1,0.22,0.1818,0.41,0.4627,6,53,59
468,1,0,1,12,0,5,1,1,0.22,0.1818,0.27,0.5821,11,67,78
469,1,0,1,13,0,5,1,1,0.2,0.1515,0.21,0.5821,8,65,73
470,1,0,1,14,0,5,1,1,0.2,0.1515,0.25,0.5224,6,56,62
471,1,0,1,15,0,5,1,1,0.16,0.1212,0.26,0.4478,4,61,65
472,1,0,1,16,0,5,1,1,0.16,0.1364,0.26,0.3582,0,97,97
473,1,0,1,17,0,5,1,1,0.14,0.1212,0.28,0.3582,10,151,161
474,1,0,1,18,0,5,1,1,0.12,0.1212,0.3,0.2537,1,119,120
475,1,0,1,19,0,5,1,1,0.12,0.1061,0.3,0.3284,3,93,96
476,1,0,1,20,0,5,1,1,0.1,0.0758,0.33,0.4179,1,52,53
477,1,0,1,21,0,5,1,1,0.08,0.0758,0.38,0.2836,0,41,41
478,1,0,1,22,0,5,1,1,0.06,0.0303,0.41,0.3881,1,33,34
479,1,0,1,23,0,5,1,1,0.06,0.0455,0.38,0.3284,0,27,27
480,1,0,1,0,0,6,0,1,0.04,0.0303,0.45,0.2537,0,13,13
481,1,0,1,1,0,6,0,2,0.04,0,0.41,0.3881,3,9,12
482,1,0,1,2,0,6,0,2,0.04,0.0303,0.41,0.2537,0,11,11
483,1,0,1,3,0,6,0,2,0.04,0.0303,0.41,0.2836,1,6,7
484,1,0,1,4,0,6,0,2,0.02,0.0152,0.48,0.2985,0,3,3
485,1,0,1,6,0,6,0,2,0.02,0.0303,0.44,0.2239,0,2,2
486,1,0,1,7,0,6,0,1,0.02,0.0152,0.44,0.2836,0,8,8
487,1,0,1,8,0,6,0,1,0.02,0,0.44,0.3284,1,26,27
488,1,0,1,9,0,6,0,1,0.04,0.0303,0.41,0.2537,3,37,40
489,1,0,1,10,0,6,0,2,0.04,0.0606,0.41,0.1642,3,50,53
490,1,0,1,11,0,6,0,2,0.06,0.0758,0.38,0.1343,4,59,63
491,1,0,1,12,0,6,0,2,0.06,0.1061,0.38,0.1045,10,60,70
492,1,0,1,13,0,6,0,1,0.08,0.1667,0.35,0,12,72,84
493,1,0,1,14,0,6,0,1,0.1,0.1364,0.33,0.1045,11,64,75
494,1,0,1,15,0,6,0,1,0.12,0.1515,0.28,0,10,93,103
495,1,0,1,16,0,6,0,1,0.12,0.1364,0.28,0.194,11,72,83
496,1,0,1,17,0,6,0,1,0.12,0.197,0.28,0,8,59,67
497,1,0,1,18,0,6,0,1,0.08,0.0909,0.35,0.194,0,54,54
498,1,0,1,19,0,6,0,1,0.08,0.1061,0.35,0.1343,6,53,59
499,1,0,1,20,0,6,0,1,0.06,0.0758,0.45,0.1642,1,44,45
500,1,0,1,21,0,6,0,1,0.06,0.1061,0.41,0.0896,0,39,39

